X,Y,Zexp
0.8,2.262135908,0.075
0.8,2.273058237,0.07
0.8,2.283980567,0.066
0.8,2.294902896,0.065
0.8,2.305825226,0.067
0.8,2.316747555,0.068
0.8,2.327669885,0.064
0.8,2.338592214,0.062
0.8,2.349514544,0.061
0.8,2.360436873,0.061
0.8,2.371359203,0.057
0.8,2.382281532,0.054
0.8,2.393203862,0.054
0.8,2.404126191,0.054
0.8,2.415048521,0.052
0.8,2.42597085,0.048
0.8,2.43689318,0.045
0.8,2.447815509,0.046
0.8,2.458737839,0.048
0.8,2.469660168,0.048
0.8,2.480582498,0.047
0.8,2.491504827,0.043
0.8,2.502427157,0.041
0.8,2.513349486,0.043
0.8,2.524271816,0.044
0.8,2.535194145,0.043
0.8,2.546116475,0.042
0.8,2.557038804,0.042
0.8,2.567961134,0.041
0.8,2.578883463,0.037
0.8,2.589805792,0.038
0.8,2.600728122,0.038
0.8,2.611650451,0.038
0.8,2.622572781,0.038
0.8,2.63349511,0.037
0.8,2.64441744,0.038
0.8,2.655339769,0.038
0.8,2.666262099,0.038
0.8,2.677184428,0.038
0.8,2.688106758,0.038
0.8,2.699029087,0.038
0.8,2.709951417,0.037
0.8,2.720873746,0.037
0.8,2.731796076,0.037
0.8,2.742718405,0.036
0.8,2.753640735,0.036
0.8,2.764563064,0.037
0.8,2.775485394,0.035
0.8,2.786407723,0.035
0.8,2.797330053,0.035
0.8,2.808252382,0.036
0.8,2.819174712,0.036
0.8,2.830097041,0.036
0.8,2.841019371,0.037
0.8,2.8519417,0.037
0.8,2.86286403,0.036
0.8,2.873786359,0.036
0.8,2.884708689,0.035
0.8,2.895631018,0.035
0.8,2.906553348,0.035
0.8,2.917475677,0.035
